"x","y","region","water","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
773000,590000,"michigan_south",0,0.0294504,NA,0.006108,0.0587432,0.0011896,0.0017668,NA,0.0002316,0.0176576,6e-06,9.4e-05,0.0915196,0.0057996,0.015092,0.7177764,0.0002804,3.68e-05,0.0345828,0.0031396,0.0018028,0.0008208,7.12e-05,0.0138308
781000,590000,"michigan_south",0,0.067586,NA,0.01326,0.3537704,0.0024172,0.00344,NA,0.0004632,0.0276152,1.92e-05,0.0002684,0.025336,0.00946,0.0459832,0.3761732,0.0003444,5.48e-05,0.0313728,0.0061548,0.0035672,0.00128,0.000124,0.03131
789000,590000,"michigan_south",0,0.0508844,NA,0.0147632,0.0805612,0.00216,0.005812,NA,0.0006576,0.0275052,1.24e-05,0.0002616,0.0299532,0.0219844,0.0162536,0.6462632,0.0002616,6.96e-05,0.0132936,0.0216336,0.00649,0.0013908,0.000106,0.0596828
797000,590000,"michigan_south",0,0.0069544,NA,0.0014448,0.0053548,0.0002044,0.0002964,NA,5.84e-05,0.0042988,8e-07,1.96e-05,0.0440144,0.0016692,0.0019292,0.9056012,1.32e-05,4e-06,0.0014684,0.000626,0.002112,0.000174,9.2e-06,0.0237468
805000,590000,"michigan_south",0,0.0078528,NA,0.00152,0.003796,0.0002744,0.0003696,NA,9.48e-05,0.00744,8e-07,2.4e-05,0.0388796,0.001442,0.0021208,0.9048276,2.68e-05,8.8e-06,0.002004,0.0003624,0.0073088,0.0002184,6.4e-06,0.021422
813000,590000,"michigan_south",0,0.00202,NA,0.0003024,0.0012664,4.8e-05,7.08e-05,NA,1.96e-05,0.0017804,0,3.6e-06,0.0234344,0.000226,0.0006088,0.9647668,2.8e-06,4e-07,0.000824,7e-05,0.0009944,3.56e-05,1.2e-06,0.0035244
821000,590000,"michigan_south",0,0.003734,NA,0.000472,0.002154,8.16e-05,0.0001248,NA,3.64e-05,0.0022464,0,1.32e-05,0.0154384,0.0003908,0.0009484,0.9691512,4.8e-06,1.2e-06,0.0009008,9.68e-05,0.001846,5e-05,2e-06,0.0023072
829000,590000,"michigan_south",0,0.05818,NA,0.0068216,0.0485764,0.0011036,0.0012988,NA,0.0006104,0.0323536,5.6e-06,0.00027,0.0294196,0.0038144,0.014786,0.7716736,7.6e-05,2e-05,0.0132764,0.0009288,0.0049256,0.0006216,5.8e-05,0.01118
837000,590000,"michigan_south",0,0.1362648,NA,0.0156044,0.2487224,0.0025888,0.0035004,NA,0.0013828,0.0454724,1.68e-05,0.0012848,0.0214676,0.0068864,0.0329948,0.393014,0.000202,7.32e-05,0.0106396,0.003928,0.0058988,0.0016504,0.0001028,0.0683048
845000,590000,"michigan_south",0,0.108174,NA,0.0138532,0.2552204,0.0015992,0.0025072,NA,0.0010224,0.048786,1.04e-05,0.0003824,0.0168084,0.0073256,0.0330376,0.462554,6.96e-05,5.24e-05,0.0301668,0.0014496,0.0036296,0.0014912,0.0001552,0.0117048
